language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Rajasthani	raj	raj		http://purl.obolibrary.org/obo/OMRSE_00000812	RAJ
Karelian	krl	krl		http://purl.obolibrary.org/obo/OMRSE_00000711	KRL
Hebrew	heb	heb	he	http://purl.obolibrary.org/obo/OMRSE_00000657	HEB
Afar	aar	aar	aa	http://purl.obolibrary.org/obo/OMRSE_00000507	AAR
Gayo	gay	gay		http://purl.obolibrary.org/obo/OMRSE_00000633	GAY
Erzya	myv	myv		http://purl.obolibrary.org/obo/OMRSE_00000765	MYV
Tumbuka	tum	tum		http://purl.obolibrary.org/obo/OMRSE_00000887	TUM
Ewondo	ewo	ewo		http://purl.obolibrary.org/obo/OMRSE_00000615	EWO
Fulah	ful	ful	ff	http://purl.obolibrary.org/obo/OMRSE_00000630	FUL
Cebuano	ceb	ceb		http://purl.obolibrary.org/obo/OMRSE_00000565	CEB
Tereno	ter	ter		http://purl.obolibrary.org/obo/OMRSE_00000868	TER
Czech	ces	cze	cs	http://purl.obolibrary.org/obo/OMRSE_00000566	CES
Yakut	sah	sah		http://purl.obolibrary.org/obo/OMRSE_00000823	SAH
Ekajuk	eka	eka		http://purl.obolibrary.org/obo/OMRSE_00000607	EKA
Zhuang	zha	zha	za	http://purl.obolibrary.org/obo/OMRSE_00000919	ZHA
Lower Sorbian	dsb	dsb		http://purl.obolibrary.org/obo/OMRSE_00000599	DSB
Ganda	lug	lug	lg	http://purl.obolibrary.org/obo/OMRSE_00000732	LUG
Timne	tem	tem		http://purl.obolibrary.org/obo/OMRSE_00000867	TEM
Mongolian	mon	mon	mn	http://purl.obolibrary.org/obo/OMRSE_00000760	MON
Waray	war	war		http://purl.obolibrary.org/obo/OMRSE_00000905	WAR
Lozi	loz	loz		http://purl.obolibrary.org/obo/OMRSE_00000728	LOZ
Arawak	arw	arw		http://purl.obolibrary.org/obo/OMRSE_00000530	ARW
Dargwa	dar	dar		http://purl.obolibrary.org/obo/OMRSE_00000591	DAR
Maithili	mai	mai		http://purl.obolibrary.org/obo/OMRSE_00000741	MAI
Chipewyan	chp	chp		http://purl.obolibrary.org/obo/OMRSE_00000576	CHP
Hupa	hup	hup		http://purl.obolibrary.org/obo/OMRSE_00000667	HUP
Wolaitta	wal	wal		http://purl.obolibrary.org/obo/OMRSE_00000904	WAL
Zenaga	zen	zen		http://purl.obolibrary.org/obo/OMRSE_00000917	ZEN
Northern Sami	sme	sme	se	http://purl.obolibrary.org/obo/OMRSE_00000838	SME
Kashmiri	kas	kas	ks	http://purl.obolibrary.org/obo/OMRSE_00000692	KAS
Moksha	mdf	mdf		http://purl.obolibrary.org/obo/OMRSE_00000749	MDF
Kpelle	kpe	kpe		http://purl.obolibrary.org/obo/OMRSE_00000709	KPE
Braj	bra	bra		http://purl.obolibrary.org/obo/OMRSE_00000555	BRA
Fanti	fat	fat		http://purl.obolibrary.org/obo/OMRSE_00000619	FAT
Fon	fon	fon		http://purl.obolibrary.org/obo/OMRSE_00000623	FON
Malayalam	mal	mal	ml	http://purl.obolibrary.org/obo/OMRSE_00000743	MAL
Afrikaans	afr	afr	af	http://purl.obolibrary.org/obo/OMRSE_00000514	AFR
Mossi	mos	mos		http://purl.obolibrary.org/obo/OMRSE_00000761	MOS
Hiri Motu	hmo	hmo	ho	http://purl.obolibrary.org/obo/OMRSE_00000663	HMO
Bengali	ben	ben	bn	http://purl.obolibrary.org/obo/OMRSE_00000547	BEN
Samoan	smo	smo	sm	http://purl.obolibrary.org/obo/OMRSE_00000841	SMO
Zaza	zza	zza		http://purl.obolibrary.org/obo/OMRSE_00000922	ZZA
Inari Sami	smn	smn		http://purl.obolibrary.org/obo/OMRSE_00000840	SMN
Mohawk	moh	moh		http://purl.obolibrary.org/obo/OMRSE_00000759	MOH
Herero	her	her	hz	http://purl.obolibrary.org/obo/OMRSE_00000658	HER
Xhosa	xho	xho	xh	http://purl.obolibrary.org/obo/OMRSE_00000910	XHO
Pohnpeian	pon	pon		http://purl.obolibrary.org/obo/OMRSE_00000807	PON
Mandingo	man	man		http://purl.obolibrary.org/obo/OMRSE_00000744	MAN
Nyankole	nyn	nyn		http://purl.obolibrary.org/obo/OMRSE_00000787	NYN
Greek, Modern (1453–)	ell	gre	el	http://purl.obolibrary.org/obo/OMRSE_00000608	ELL
Kirghiz	kir	kir	ky	http://purl.obolibrary.org/obo/OMRSE_00000702	KIR
Cheyenne	chy	chy		http://purl.obolibrary.org/obo/OMRSE_00000580	CHY
Chamorro	cha	cha	ch	http://purl.obolibrary.org/obo/OMRSE_00000567	CHA
Romanian	ron	rum	ro	http://purl.obolibrary.org/obo/OMRSE_00000817	RON
Tswana	tsn	tsn	tn	http://purl.obolibrary.org/obo/OMRSE_00000884	TSN
Gwich'in	gwi	gwi		http://purl.obolibrary.org/obo/OMRSE_00000652	GWI
Iloko	ilo	ilo		http://purl.obolibrary.org/obo/OMRSE_00000675	ILO
Tonga (Nyasa)	tog	tog		http://purl.obolibrary.org/obo/OMRSE_00000880	TOG
Irish	gle	gle	ga	http://purl.obolibrary.org/obo/OMRSE_00000639	GLE
Sranan Tongo	srn	srn		http://purl.obolibrary.org/obo/OMRSE_00000851	SRN
Macedonian	mkd	mac	mk	http://purl.obolibrary.org/obo/OMRSE_00000737	MKD
Bulgarian	bul	bul	bg	http://purl.obolibrary.org/obo/OMRSE_00000559	BUL
Southern Sami	sma	sma		http://purl.obolibrary.org/obo/OMRSE_00000837	SMA
Sichuan Yi	iii	iii	ii	http://purl.obolibrary.org/obo/OMRSE_00000672	III
Lao	lao	lao	lo	http://purl.obolibrary.org/obo/OMRSE_00000720	LAO
